Company,Sector,Stage,Amount($),Location,funding_year,Investor
TheCollegeFever,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",Seed,250000.0,Bengaluru,2018,Unknown
Happy Cow Dairy,"Agriculture, Farming",Seed,484000.0,Mumbai,2018,Unknown
MyLoanCare,"Credit, Financial Services, Lending, Marketplace",Series A,786500.0,Gurgaon,2018,Unknown
PayMe India,"Financial Services, FinTech",Angel,2000000.0,Noida,2018,Unknown
Eunimart,"E-Commerce Platforms, Retail, SaaS",Seed,0.0,Hyderabad,2018,Unknown
Hasura,"Cloud Infrastructure, PaaS, SaaS",Seed,1600000.0,Bengaluru,2018,Unknown
Tripshelf,"Internet, Leisure, Marketplace",Seed,193600.0,Kalkaji,2018,Unknown
Hyperdata,Market Research,Angel,605000.0,Hyderabad,2018,Unknown
Freightwalla,"Information Services, Information Technology",Seed,0.0,Mumbai,2018,Unknown
Microchip Payments,Mobile Payments,Seed,0.0,Bengaluru,2018,Unknown
BizCrum Infotech Pvt,"B2B, Shoes",Seed,0.0,New Delhi,2018,Unknown
Emojifi,Internet,Seed,0.0,Bengaluru,2018,Unknown
Flock,"Apps, Collaboration, Developer Platform, Enterprise Software, Messaging, Productivity Tools, Video Chat",Seed,0.0,Unknown,2018,Unknown
Freshboxx,Food Delivery,Seed,0.0,Hubli,2018,Unknown
Wide Mobility Mechatronics,Industrial Automation,Seed,0.0,Bengaluru,2018,Unknown
Pitstop,"Automotive, Search Engine, Service Industry",Seed,1210000.0,Bengaluru,2018,Unknown
Mihuru,"Finance, Internet, Travel",Seed,150000.0,Mumbai,2018,Unknown
Fyle,"Accounting, Business Information Systems, Business Travel, Finance, SaaS",Seed,1100000.0,Bengaluru,2018,Unknown
AppWharf,"Artificial Intelligence, Product Search, SaaS, Service Industry, Software",Seed,0.0,New Delhi,2018,Unknown
Antariksh Waste Ventures Pvt ltd,"Internet of Things, Waste Management",Seed,6050.0,Chennai,2018,Unknown
Cogoport,"Air Transportation, Freight Service, Logistics, Marine Transportation",Series A,6000000.0,Mumbai,2018,Unknown
PaisaDukan,Financial Services,Seed,650000.0,Mumbai,2018,Unknown
Sleepy Owl Coffee,Food and Beverage,Seed,423500.0,New Delhi,2018,Unknown
BlueJack,Autonomous Vehicles,Seed,774400.0,New Delhi,2018,Unknown
PregBuddy,"Enterprise Software, Health Care, Hospital, Parenting, Personal Health, SaaS",Seed,0.0,Bengaluru,2018,Unknown
AgNext Technologies,"Agriculture, Analytics, Big Data, Farming",Series A,0.0,Mohali,2018,Unknown
Pando,"Logistics, Supply Chain Management",Seed,2000000.0,Chennai,2018,Unknown
Mintifi,"Financial Services, Lending",Seed,2000000.0,Mumbai,2018,Unknown
Carcrew,"Automotive, Marketplace, Online Portals",Seed,2000000.0,Mumbai,2018,Unknown
NicheAI,Artificial Intelligence,Angel,0.0,Hyderabad,2018,Unknown
Chariot Tech,"Internet of Things, Telecommunications",Seed,242000.0,New Delhi,2018,Unknown
Ideal Insurance Brokers,Insurance,Seed,1000000.0,Kolkata,2018,Unknown
Loanzen,Financial Services,Seed,0.0,Bengaluru,2018,Unknown
Mojro Technologies,"Information Technology, Logistics, Supply Chain Management",Seed,650000.0,Bengaluru,2018,Unknown
Elemential,"Blockchain, Developer Tools, Enterprise Software",Seed,1000000.0,Mumbai,2018,Unknown
Loadshare,"Industrial Automation, Logistics, Supply Chain Management",Series A,5000000.0,Bengaluru,2018,Unknown
Yumlane,"Food and Beverage, Food Delivery, Snack Food",Series A,4000000.0,Mumbai,2018,Unknown
Kriger Campus,Education,Seed,363000.0,New Delhi,2018,Unknown
Pipa+Bella,"E-Commerce, Fashion, Jewelry, Retail",Series A,1000000.0,Mumbai,2018,Unknown
Kaleidofin,Financial Services,Seed,2800000.0,Chennai,2018,Unknown
Chakr Innovation,Renewable Energy,Seed,0.0,New Delhi,2018,Unknown
IndigoLearn,"E-Learning, Education",Seed,150000.0,Hyderabad,2018,Unknown
UClean,"Clean Energy, CleanTech, Laundry and Dry-cleaning",Seed,484000.0,Unknown,2018,Unknown
Coutloot,"E-Commerce, Fashion, Mobile",Seed,1000000.0,Mumbai,2018,Unknown
Letstrack,"Apps, Messaging, Navigation, Public Safety",Seed,1700000.0,New Delhi,2018,Unknown
Pooltoo,Transportation,Seed,0.0,New Delhi,2018,Unknown
Finzy,"Financial Services, Lending",Seed,1300000.0,Bengaluru,2018,Unknown
Fitternity,"Fitness, Health Care, Wellness",Seed,2000000.0,Mumbai,2018,Unknown
Keito,"Artificial Intelligence, Machine Learning, SaaS, Virtual Assistant",Seed,0.0,Pune,2018,Unknown
Tolet for Students,Hospitality,Seed,60500.0,Jodhpur,2018,Unknown
Chai Kings,"Food and Beverage, Tea",Seed,242000.0,Chennai,2018,Unknown
Dainik Jagran,"Media and Entertainment, News, Outdoors",Seed,484000.0,Kanpur,2018,Unknown
Playtoome,"Broadcasting, Media and Entertainment, Music, Music Streaming, Video, Video Streaming",Seed,242000.0,Bengaluru,2018,Unknown
ONGO Framework,"B2B, Information Services, Information Technology",Angel,1000000.0,Hyderabad,2018,Unknown
Notesgen,"EdTech, Education, Enterprise Software, Peer to Peer",Seed,151250.0,New Delhi,2018,Unknown
Arogya MedTech,"Health Care, Medical",Seed,181500.0,Kolkata,2018,Unknown
Propshop24,E-Commerce,Seed,500000.0,Mumbai,2018,Unknown
myUpchar,"Health Care, Hospital, Wellness",Series A,5000000.0,New Delhi,2018,Unknown
MissMalini Entertainment,Unknown,Seed,1258400.0,Mumbai,2018,Unknown
Rooter,Sports,Seed,544500.0,Unknown,2018,Unknown
ZestMoney,"Big Data, Consumer Lending, FinTech",Series A,13400000.0,Bengaluru,2018,Unknown
alphaics Corporation,"Cloud Computing, Computer, Semiconductor",Seed,0.0,Bengaluru,2018,Unknown
MyDentistChoice,"Health Care, Medical, Pharmaceutical",Seed,500000.0,Hyderabad,2018,Unknown
Sattviko,"Food Processing, Retail",Angel,0.0,New Delhi,2018,Unknown
Sensibull,Trading Platform,Seed,302500.0,Bengaluru,2018,Unknown
Bombay Shaving Company,"Consumer Goods, Lifestyle, Men's",Series A,0.0,New Delhi,2018,Unknown
MedCords,Wellness,Seed,319440.0,Pune,2018,Unknown
University Living,Education,Seed,0.0,New Delhi,2018,Unknown
ME,"Food and Beverage, Food Processing, Nutrition",Seed,0.0,Bengaluru,2018,Unknown
Enakshi,Fashion,Seed,96800.0,Ahmedabad,2018,Unknown
Ultraviolette Automotive,"Automotive, Electric Vehicle, Energy Storage",Series A,726.0,Bengaluru,2018,Unknown
Inthree Access,"Consulting, Retail, Social",Series A,4000000.0,Chennai,2018,Unknown
BUGWORKS Research India,"Biotechnology, Life Science, Pharmaceutical, Product Research",Series A,9000000.0,Bengaluru,2018,Unknown
Guardian,Healthcare,Seed,0.0,Mumbai,2018,Unknown
PrestLoans,"Credit, Financial Services, FinTech, Personal Finance",Seed,100000.0,New Delhi,2018,Unknown
Wimoxez,Internet,Seed,20000.0,Hyderabad,2018,Unknown
India Accelerator,"Communities, Coworking, Incubators",Angel,0.0,Gurgaon,2018,Unknown
HappyEMI,"Consumer, Financial Services, FinTech",Seed,1000000.0,Bengaluru,2018,Unknown
Wishup,"Consumer Applications, Information Services, Location Based Services, Virtual Assistant",Seed,0.0,Azadpur,2018,Unknown
Hansel,"Mobile, Mobile Apps, Personalization, Test and Measurement, Web Apps",Series A,4000000.0,Bengaluru,2018,Unknown
Propelld,"Education, Financial Services, FinTech",Seed,250000.0,Bengaluru,2018,Unknown
PivotRoots,"Advertising, Consulting, Digital Marketing",Series A,0.0,Mumbai,2018,Unknown
ZiffyHomes,"Marketplace, Real Estate, Rental Property",Seed,120000.0,New Delhi,2018,Unknown
Carmesi,Healthcare,Seed,411400.0,Gurgaon,2018,Unknown
OckyPocky,"E-Learning, Internet, Video Games",Angel,0.0,Haryana,2018,Unknown
Racetrack,"Artificial Intelligence, Cloud Computing, Video",Seed,4138200.0,Bengaluru,2018,Unknown
WHR,"Health Care, Information Technology",Seed,143145.0,Pune,2018,Unknown
Asteria Aerospace,Aerospace,Seed,0.0,Bengaluru,2018,Unknown
FabAlley,"E-Commerce, Fashion, Lifestyle",Series B,7260000.0,Noida,2018,Unknown
Tranzmeo,"Artificial Intelligence, Business Intelligence, Industrial Automation, Machine Learning",Pre-Seed,0.0,Cochin,2018,Unknown
SBI Life,Insurance,Private Equity,742000000.0,Mumbai,2018,Unknown
Studds Accessories,E-Commerce,Private Equity,12100000.0,Faridabad,2018,Unknown
Design Cafe,"Home Decor, Home Improvement, Home Renovation, Home Services, Interior Design, Smart Home",Series B,24200000.0,Bengaluru,2018,Unknown
NoPaperForms Solutions Pvt,"EdTech, Education, Information Services, SaaS",Series B,3980000.0,New Delhi,2018,Unknown
Rays Power Infra,"Energy, Solar",Venture,24200000.0,Jaipur,2018,Unknown
AuthMetrik,"B2B, Biometrics, Cyber Security, Fraud Detection, SaaS, Security",Grant,10000.0,Gurgaon,2018,Unknown
Khidki,"Artificial Intelligence, Social",Seed,0.0,Bengaluru,2018,Unknown
LetsTransport,"Logistics, Transportation, Travel",Series B,12100000.0,Bengaluru,2018,Unknown
Next Digital Solutions,"Digital Marketing, SEM, SEO, Web Development",Angel,1210.0,Kota,2018,Unknown
Portea Medical,"Health Care, Hospital, Medical",Debt Financing Financing,3025000.0,Bengaluru,2018,Unknown
Aavas Financiers,"Finance, Financial Services",Post-IPO Debt Financing,24200000.0,Jaipur,2018,Unknown
Swiggy,"Food Delivery, Food Processing, Internet",Series H,1000000000.0,Bengaluru,2018,Unknown
Milkbasket,"E-Commerce, Food and Beverage, Internet",Series A,7000000.0,Haryana,2018,Unknown
Nutrisattva ,"Fitness, Food and Beverage, Health Care, Nutrition",Angel,0.0,Anand,2018,Unknown
Toppr,"EdTech, Education, Knowledge Management",Series C,35000000.0,Mumbai,2018,Unknown
Jagaran Microfin,Unknown,Debt Financing Financing,6655000.0,Kolkata,2018,Unknown
Vivriti Capital,Financial Services,Venture,28500000.0,Chennai,2018,Unknown
Be U Salons,"Apps, Beauty, Consumer, Retail",Seed,363000.0,New Delhi,2018,Unknown
Impact Guru,"Creative Agency, Crowdfunding, EdTech, Health Care, Internet, Medical, Non Profit, Personal Health",Series A,2000000.0,Mumbai,2018,Unknown
MobiKwik,"Consumer Lending, Financial Services, FinTech, Insurance, Lending, Mobile Payments, Payments, Wealth Management",Series E,2904000.0,Gurgaon,2018,Unknown
Stones2Milestones,"E-Learning, Education, Higher Education",Seed,0.0,Gurgaon,2018,Unknown
Generico,"Health Care, Medical, Pharmaceutical",Series A,0.0,Mumbai,2018,Unknown
Adiuvo Diagnostics,Health Diagnostics,Seed,0.0,Chennai,2018,Unknown
DataTrained,"EdTech, Education",Seed,1452000.0,Bengaluru,2018,Unknown
OneAssist,"Financial Services, SaaS, Security",Debt Financing Financing,2400000.0,Mumbai,2018,Unknown
Satin Creditcare Network Limited ,"Banking, Finance, Financial Services, Non Profit",Post-IPO Debt Financing,30000000.0,New Delhi,2018,Unknown
APAC Financial Services,"Finance, Financial Services",Private Equity,30250000.0,Mumbai,2018,Unknown
Moglix,"B2B, E-Commerce, Mobile",Series C,23000000.0,Noida,2018,Unknown
SEDEMAC Mechatronics,"Automotive, Electric Vehicle, Renewable Energy",Venture,0.0,Mumbai,2018,Unknown
MadGuy Labs,E-Learning,Venture,150000.0,Hyderabad,2018,Unknown
Dee Dee Labs,"Embedded Systems, Health Care, Medical, Product Research",Seed,0.0,Pune,2018,Unknown
FLEECA,Unknown,Seed,0.0,Jaipur,2018,Unknown
Shop101,"Apps, E-Commerce, Internet",Series B,11000000.0,Mumbai,2018,Unknown
FeedMyPockets,"Advertising, Human Resources, Marketing",Seed,532400.0,Bengaluru,2018,Unknown
Housejoy,"Beauty, Fitness, Home Services, Internet",Series B,3240000.0,Bengaluru,2018,Unknown
Ambee,"Health Care, Medical Device, Public Safety",Angel,0.0,Bengaluru,2018,Unknown
FoodBuddy,"Food Delivery, Online Portals, Restaurants",Seed,726000.0,Belgaum,2018,Unknown
Ninjacart,"AgTech, B2B, Supply Chain Management",Series B,30250000.0,Bengaluru,2018,Unknown
Olly Smart Credit Card,"Credit Cards, Finance, Mobile Apps, Mobile Payments, Payments",Seed,0.0,New Delhi,2018,Unknown
Zestl,Software,Seed,0.0,Pune,2018,Unknown
Byju's,"EdTech, Education, Higher Education, Secondary Education",Private Equity,540000000.0,Bengaluru,2018,Unknown
Wakefit,"Manufacturing, Retail",Venture,7865000.0,Bengaluru,2018,Unknown
Hero Electric,Manufacturing,Venture,19360000.0,New Delhi,2018,Unknown
Pentation Analytics,"Information Services, Information Technology, InsurTech",Seed,0.0,Mumbai,2018,Unknown
PerkFinance,"Consumer Lending, FinTech",Seed,900000.0,Bengaluru,2018,Unknown
Roposo,"Internet, Social Network, TV",Series C,10000000.0,Gurgaon,2018,Unknown
Plum Goodness,"Beauty, Health Care",Series A,0.0,Thane,2018,Unknown
Drstore,Hospital,Seed,0.0,Mumbai,2018,Unknown
Wow Venue,Events,Venture,1500000.0,Mumbai,2018,Unknown
Chizel,"3D Printing, Manufacturing, Product Design",Seed,0.0,Pune,2018,Unknown
OTO Capital,Automotive,Seed,605000.0,Mumbai,2018,Unknown
Boodmo,"Automotive, Retail",Seed,847000.0,Gurgaon,2018,Unknown
Khabri,"Apps, Audio",Seed,0.0,Haryana,2018,Unknown
MyNewCar,"Automotive, E-Commerce",Venture,1000000.0,Gurgaon,2018,Unknown
HalaPlay Technologies,"Digital Entertainment, Fantasy Sports, Sports",Series A,5000000.0,Bengaluru,2018,Unknown
PlanetSpark,"E-Learning, EdTech, Education",Seed,193600.0,Gurgaon,2018,Unknown
WheelsEMI,Unknown,Series B,14000000.0,Pune,2018,Unknown
Forum for Innovation Incubation Research and Entrepreneurship,"Funding Platform, Incubators, Non Profit",Grant,1240250.0,Margão,2018,Unknown
OYO,"Hospitality, Hotel, Leisure, Travel",Series E,100000000.0,Gurgaon,2018,Unknown
Quikr,"Classifieds, Internet, Marketplace, Rental Property",Debt Financing Financing,6655000.0,Bengaluru,2018,Unknown
Tabono,Sports,Seed,0.0,Gurgaon,2018,Unknown
LearnApp,"Banking, E-Learning, Trading Platform",Seed,242000.0,Noida,2018,Unknown
Shopkirana,"E-Commerce, Mobile, Retail",Venture,2000000.0,Indore,2018,Unknown
Fric Bergen,Unknown,Venture,0.0,Alwar,2018,Unknown
Articbot,"Artificial Intelligence, Information Technology",Grant,14520.0,Kannur,2018,Unknown
BuildSupply,"Enterprise Resource Planning (ERP), Information Services, Information Technology, Real Estate",Series A,3025000.0,Gurgaon,2018,Unknown
Fusion Microfinance,"Banking, Finance, Financial Services",Series E,62920000.0,New Delhi,2018,Unknown
Any time Doctor,Software,Angel,0.0,Chennai,2018,Unknown
Go Payments,"Information Services, Information Technology",Corporate Round,0.0,Mumbai,2018,Unknown
Guiddoo World,"Audio, Mobile, Tourism, Travel",Seed,800000.0,Mumbai,2018,Unknown
ION Energy,"Energy, Energy Storage, Infrastructure",Venture,1041000.0,Mumbai,2018,Unknown
UnoTag,Artificial Intelligence,Pre-Seed,100000.0,Bengaluru,2018,Unknown
CivilCops,"Government, Information Technology, Software",Pre-Seed,100000.0,Gurgaon,2018,Unknown
Rockmetric,Information Technology,Grant,0.0,Mumbai,2018,Unknown
Classworks India,"Education, Information Technology, Internet, Mobile, Software",Unknown,1210.0,Chennai,2018,Unknown
Snapmint,"Consumer Lending, Financial Services, Lending, Personal Finance",Seed,0.0,Mumbai,2018,Unknown
artbandhu,"Digital Media, Internet, Media and Entertainment, Online Portals, Social Media",Pre-Seed,15000.0,Bengaluru,2018,Unknown
Survaider,"Business Intelligence, Customer Service, Market Research, SaaS",Seed,500000.0,Bengaluru,2018,Unknown
Credy,"Credit, Financial Services, FinTech, Lending",Seed,1400000.0,Bengaluru,2018,Unknown
iChamp,E-Learning,Seed,5000000.0,Gurgaon,2018,Unknown
Qandle,Software,Seed,1200000.0,Gurgaon,2018,Unknown
Avishkaar Box,"Children, Education, Parenting",Seed,605000.0,New Delhi,2018,Unknown
Gegadyne Energy,"Automotive, Battery, Energy, Energy Storage",Angel,0.0,Mumbai,2018,Unknown
HyperXchange,"E-Commerce, Mobile, Sharing Economy",Series A,1000000.0,Pune,2018,Unknown
Deftouch,Unknown,Seed,0.0,Bengaluru,2018,Unknown
Doodhwala,"Food Delivery, Organic, Organic Food",Seed,2200000.0,Bengaluru,2018,Unknown
DronaHQ,Mobile,Angel,500000.0,Mumbai,2018,Unknown
FastFox,Rental,Series A,1210000.0,Gurgaon,2018,Unknown
BuyForexOnline,Travel,Unknown,2000000.0,Bengaluru,2018,Unknown
Colive,Consumer,Seed,1800000.0,Bengaluru,2018,Unknown
Agricxlab Private Limited,"B2B, Farming, Marketplace",Seed,500000.0,Thane,2018,Unknown
Corefactors,Unknown,Seed,0.0,Bengaluru,2018,Unknown
Fincash,Wealth Management,Seed,150000.0,Mumbai,2018,Unknown
Pandorum Technologies,Biotechnology,Series A,3600000.0,Bengaluru,2018,Unknown
Shirsa Labs,"Education, Gaming, Training",Seed,500000.0,Mumbai,2018,Unknown
PetSutra,Veterinary,Seed,114950.0,Gurgaon,2018,Unknown
Awaaz De,"Internet, Mobile, Social Entrepreneurship, Telecommunications, Wireless",Angel,0.0,Ahmedabad,2018,Unknown
PinkBlue,"Health Care, Hospital, Supply Chain Management",Seed,300000.0,Bengaluru,2018,Unknown
Eduvanz,"Finance, Financial Services",Angel,500000.0,Mumbai,2018,Unknown
Rupeek,"Financial Services, Lending",Series A,6830000.0,Bengaluru,2018,Unknown
Backpacker Panda Holidays Private Limited,"Tourism, Travel",Series A,1400000.0,Pune,2018,Unknown
Shape ,Education,Seed,200000.0,Pune,2018,Unknown
Placio,"Hospitality, Real Estate",Seed,2000000.0,Noida,2018,Unknown
Aviom India Housing Finance,Finance,Series A,1815000.0,New Delhi,2018,Unknown
GenRobotic,Market Research,Seed,0.0,Trivandrum,2018,Unknown
HeyHolidays,"Tourism, Travel",Seed,1000000.0,Bengaluru,2018,Unknown
Pratilipi,"Digital Media, EBooks, Publishing, Reading Apps",Series A,4300000.0,Bengaluru,2018,Unknown
SectorQube,"Consumer Electronics, Embedded Systems, Hardware, Smart Building, Software",Seed,0.0,Ernakulam,2018,Unknown
Food Memories,"Food and Beverage, Food Processing",Seed,0.0,Ahmedabad,2018,Unknown
ZAMROO,"Internet, Marketplace, Shopping",Seed,0.0,Unknown,2018,Unknown
Silversparro Technologies Pvt,"Analytics, Computer Vision, Enterprise Software, Machine Learning, Natural Language Processing, Speech Recognition",Seed,300000.0,Gurgaon,2018,Unknown
Creator’s Gurukul,Facilities Support Services,Angel,0.0,Gurgaon,2018,Unknown
Emflux Motors,"Automotive, Electric Vehicle, Energy",Seed,364846.0,Bengaluru,2018,Unknown
Tricog Health Services Pvt Ltd,"Health Care, Health Diagnostics, Predictive Analytics",Series A,4000000.0,Bengaluru,2018,Unknown
Scapic,"Cloud Computing, Computer, SaaS, Software",Seed,500000.0,Bengaluru,2018,Unknown
6Degree,"Fashion, Lifestyle, Retail",Seed,400000.0,Mumbai,2018,Unknown
Chrysalis ,Education,Seed,0.0,Chennai,2018,Unknown
Ekincare,Medical,Series A,1500000.0,Hyderabad,2018,Unknown
Streo,Music Streaming,Seed,0.0,Gurgaon,2018,Unknown
Groww,"Finance, Impact Investing, Internet",Seed,120000.0,Kormangala,2018,Unknown
Cell Propulsion,Unknown,Seed,84700.0,Bengaluru,2018,Unknown
Chezuba,"Internet, Social Entrepreneurship",Angel,16940.0,Hyderabad,2018,Unknown
Ontrack Technologies Pvt,Retail,Seed,0.0,Bengaluru,2018,Unknown
Wealthtrust,"Finance, Impact Investing, Mobile Apps",Seed,500000.0,Mumbai,2018,Unknown
Faclon Labs,"Cloud Computing, Computer, Software",Seed,0.0,Mumbai,2018,Unknown
Awign Enterprises,"Business Development, Market Research, Outsourcing",Seed,605000.0,Bengaluru,2018,Unknown
CollPoll,Education,Seed,0.0,Bengaluru,2018,Unknown
Zyla Health,"Health Care, Hospitality",Seed,0.0,New Delhi,2018,Unknown
Hubhopper,"Internet, Social News, Sports",Series A,500000.0,New Delhi,2018,Unknown
Rubix108 Technologies,Information Technology,Seed,1000000.0,Pune,2018,Unknown
Workflexi,Human Resources,Seed,121000.0,Bengaluru,2018,Unknown
Streak,Financial Services,Seed,272250.0,Bengaluru,2018,Unknown
Kuants,Financial Services,Seed,60500.0,Gurgaon,2018,Unknown
NiYO Solutions,"Finance, Financial Services, FinTech",Series A,13200000.0,Bengaluru,2018,Unknown
Hippo Video,"Customer Service, Software, Video, Video Streaming",Seed,0.0,Chennai,2018,Unknown
Satvacart,"E-Commerce, Food Processing",Seed,0.0,Gurgaon,2018,Unknown
Daaki,Healthcare,Angel,0.0,Bengaluru,2018,Unknown
Simulanis,Training,Seed,500000.0,New Delhi,2018,Unknown
MY CHIRAAG CAB,Travel,Seed,1000000.0,Jaipur,2018,Unknown
WOTU,Food and Beverage,Seed,0.0,Bengaluru,2018,Unknown
Flathalt,Unknown,Angel,50000.0,Gurgaon,2018,Unknown
True Elements,"Dietary Supplements, Food and Beverage, Health Care, Organic Food, Snack Food",Seed,605000.0,Pune,2018,Unknown
Trendlyne Technologies,Financial Services,Seed,200000.0,Bengaluru,2018,Unknown
Planys Technologies,"Manufacturing, Oil and Gas, Robotics",Series A,1696420.0,Chennai,2018,Unknown
HealthPlix,"Fitness, Health Care, Wellness",Series A,3000000.0,Bengaluru,2018,Unknown
dishq,Unknown,Seed,400000.0,Bengaluru,2018,Unknown
Entropik Technology,"Artificial Intelligence, Computer, Machine Learning",Seed,1100000.0,Bengaluru,2018,Unknown
myHQ,"Collaboration, Communities, Coworking, Sharing Economy",Series A,500000.0,New Delhi,2018,Unknown
Trell,Unknown,Seed,1250000.0,Bengaluru,2018,Unknown
Kidovators ,"Big Data, EdTech, Machine Learning",Seed,180000.0,Bengaluru,2018,Unknown
Log 9 Materials,Nanotechnology,Seed,363000.0,Noida,2018,Unknown
VTION,"Analytics, Audio, Digital Media, Innovation Management, Internet Radio, Media and Entertainment",Seed,232320.0,Gurgaon,2018,Unknown
HousingMan,Unknown,Seed,1246300.0,Bengaluru,2018,Unknown
Steradian Semiconductors,Unknown,Seed,0.0,Bengaluru,2018,Unknown
RupeeCircle,"Financial Services, Lending, Peer to Peer",Seed,484000.0,Mumbai,2018,Unknown
Wooden Street,"E-Commerce, Furniture, Home Decor, Interior Design, Internet",Series A,1000000.0,Jaipur,2018,Unknown
The Ken,Digital Media,Series A,1500000.0,Bengaluru,2018,Unknown
SaffronStays,Unknown,Seed,2000000.0,Mumbai,2018,Unknown
Vebbler,"File Sharing, Personalization, Social Media",Seed,0.0,Bengaluru,2018,Unknown
Foyr,"Home Decor, Interior Design",Series A,4200000.0,Pune,2018,Unknown
MEngage,"Health Care, Medical Device, Mobile Apps",Seed,175000.0,Jaipur,2018,Unknown
Inner Being Wellness,Unknown,Angel,423500.0,Hyderabad,2018,Unknown
Kobster,"E-Commerce, Facilities Support Services, Procurement, Supply Chain Management",Seed,0.0,Chennai,2018,Unknown
Wishberry,"Crowdfunding, Finance, Financial Services",Series A,1210000.0,Mumbai,2018,Unknown
McXtra,"Finance, Financial Services, Insurance",Seed,1300000.0,Andheri,2018,Unknown
Magic Crate,"Children, Education, Online Portals",Seed,0.0,Bengaluru,2018,Unknown
SmartVizX,"Software, Virtual Reality",Seed,1450000.0,Noida,2018,Unknown
MySEODoc,Unknown,Seed,0.0,New Delhi,2018,Unknown
ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,Unknown,Seed,2420.0,Pune,2018,Unknown
Scale Labs,Unknown,Seed,1000000.0,New Delhi,2018,Unknown
HungerBox,"B2B, Food and Beverage, Food Delivery",Series A,4500000.0,Bengaluru,2018,Unknown
Biryani By Kilo,"Catering, Food and Beverage, Food Delivery, Food Processing",Seed,1000000.0,Noida,2018,Unknown
Wholesome Habits ,"Food and Beverage, Snack Food",Seed,500000.0,Mumbai,2018,Unknown
GoBumpr,"Automotive, E-Commerce, Mobile",Seed,600000.0,Mylapore,2018,Unknown
Fixpocket,"Computer, Digital Marketing, Facilities Support Services, Graphic Design, Internet, Mobile Apps, Social Media Marketing, Web Development",Seed,250000.0,Ahmedabad,2018,Unknown
edureka,"Android, Big Data, Blockchain, Cloud Computing, EdTech, Education, Information Technology, iOS, Training, Web Development",Series A,2000000.0,Bengaluru,2018,Unknown
Hashtag Loyalty Private Limited,"Analytics, CRM, Loyalty Programs, Machine Learning, Marketing Automation, Retail Technology, SaaS, Small and Medium Businesses",Seed,0.0,Mumbai,2018,Unknown
Wow Express,"Delivery, Information Technology, Mobile Apps",Series A,4500000.0,Mumbai,2018,Unknown
ZunRoof,"Environmental Consulting, Renewable Energy",Angel,200860.0,Gurgaon,2018,Unknown
Eggoz,"Food and Beverage, Food Processing",Angel,145200.0,Indore,2018,Unknown
Sqrrl Fintech,"Big Data, Business Intelligence, Financial Services, FinTech, Personal Finance",Seed,1000000.0,Gurgaon,2018,Unknown
GalaxyCard,"Finance, Financial Services, FinTech",Seed,0.0,Noida,2018,Unknown
IndiQube,"Commercial Real Estate, Coworking, Office Administration, Real Estate",Series A,15000000.0,Bengaluru,2018,Unknown
EGK Foods,"Food and Beverage, Food Processing, Organic Food, Snack Food",Seed,242000.0,Mumbai,2018,Unknown
NirogStreet,"Apps, Health Care, Internet, Mobile Apps, Personal Health",Seed,300000.0,Gurgaon,2018,Unknown
Pixr8,"Digital Media, Incubators, Social Entrepreneurship",Seed,50000.0,Ghaziabad,2018,Unknown
Nivesh,"Finance, Financial Services, Marketing",Seed,363000.0,Noida,2018,Unknown
Theranosis Life Sciences,"Biotechnology, Health Care, Life Science, Medical Device",Seed,0.0,Hyderabad,2018,Unknown
Poshmiles Online Solutions Private Limited,Travel,Seed,0.0,Bengaluru,2018,Unknown
Reculta,"Education, Human Resources",Seed,0.0,Noida,2018,Unknown
Orbo,Internet,Seed,0.0,Mumbai,2018,Unknown
Inntot Technologies,Consumer Electronics,Seed,0.0,Kochi,2018,Unknown
Zoctr Health,"Apps, Health Care, Hospital, Mobile Apps",Seed,0.0,Powai,2018,Unknown
Hey Deedee,"Delivery Service, Logistics, Service Industry",Seed,399300.0,Mumbai,2018,Unknown
DigiConnectt Technologys,"Information Services, Information Technology",Seed,125000.0,Bengaluru,2018,Unknown
Locus,"Big Data, Data Visualization, Logistics, Software",Series A,4000000.0,Bengaluru,2018,Unknown
Sports Flashes Pvt,"Basketball, Cricket, Cycling, eSports, Fitness, Golf, Health Care, Hockey, Sports, Swimming, Table Tennis, Volley Ball",Seed,1000000.0,New Delhi,2018,Unknown
Inc42,"Media and Entertainment, News, Publishing",Seed,0.0,New Delhi,2018,Unknown
Picxy,Internet,Seed,130000.0,Guntur,2018,Unknown
Huddle,Consulting,Seed,300000.0,Haryana,2018,Unknown
Benepik,Human Resources,Seed,0.0,Gurgaon,2018,Unknown
Cash Suvidha,Finance,Seed,1000000.0,New Delhi,2018,Unknown
Smartcoin,"Big Data, Financial Services, Machine Learning, Predictive Analytics",Seed,2000000.0,Bengaluru,2018,Unknown
Carmel Organics,"Agriculture, AgTech, Manufacturing",Series A,0.0,Indore,2018,Unknown
Roadcast,Unknown,Angel,250000.0,New Delhi,2018,Unknown
Printline Media,"Digital Media, News, Publishing",Seed,422290.0,New Delhi,2018,Unknown
Creditas Solutions,Financial Services,Seed,0.0,Gurgaon,2018,Unknown
UrbanPiper,Software,Seed,0.0,Bengaluru,2018,Unknown
Doxper,"Health Care, Hospital",Seed,871200.0,Mumbai,2018,Unknown
i2ifunding,"Crowdfunding, Finance, Financial Services",Angel,605000.0,Noida,2018,Unknown
